Rec,Treat,Time to 1st probe from start of EPG,Number of probes to the 1st E1 (including the probe of the 1st E1),Number of F ,Total duration of F ,Mean duration of F,Mean Duration of pd,Average number of pd per probe ,Time to 1st E from start of EPG (total duration of EPG recording if E is missing),Number of G,Duration of G,Mean duration of G,Number of probes after 1st E,Number of E1,Number of single E1,Number of E2,Number of sustained E2 (longer than 10 minutes),Duration of 1st E,Contribution of E1 to phloem phase (x),Potential E2 index,Total duration of E,Total duration of E1,Total duration of single E1,Total duration of E2,Mean duration of E1,Mean duration of E2,Number of probes,Number of C,Number of np,Number of pd,Total duration of C,Total duration of no phloematic phase,Total duration of np,Total duration of pd,Total probing time,Mean duration of np,Mean duration of C,Time to 1st sustained E2 (10 minutes) from start of EPG (total duration of EPG recording if E is missing),Time to first pd from the beginning of the 1st probe,Duration of the longest E2,X of probing spent in C,X of probing spent in E1,X of probing spent in E2,X of probing spent in F,X of probing spent in G,X E2 >10 min
8pm_9-22-21-ch1,zt12,535.8,2,1,221.8,221.8,4,14,5472.9,1,2975.9,2975.9,4,14,3,10,1,11522.5,18,61.7,17499.9,3158,167.5,14341.9,225.6,1434.2,6,18,6,86,6434.2,11300.1,1668.2,343.5,27131.8,278,357.5,5538,5.9,11457.4,23.7,11.6,52.9,0.8,11,10
8pm_9-22-21-ch2,zt12,276.9,4,0,NA,NA,3.2,8,3094.6,1,3.1,3.1,8,17,3,10,2,6949.8,34.8,47.9,18828.3,6558.1,825,12270.3,385.8,1227,12,23,12,92,7931.7,9971.7,2036.8,293.7,26763.2,169.7,344.9,3159.3,322.7,6885.2,29.6,24.5,45.8,0,0,20
8pm_9-22-21-ch4,zt12,7960.5,1,1,558.4,558.4,3.5,5,7995.2,2,4962.6,2481.3,8,5,1,4,2,4081.6,2.5,35.5,7566,187.2,18.8,7378.8,37.4,1844.7,9,15,10,42,2811.2,21234,12901.8,145.3,15898.2,1290.2,187.4,8001.2,4226.5,4075.7,17.7,1.2,46.4,3.5,31.2,50
8pm_9-22-21-ch5,zt12,3.1,6,14,9326.6,666.2,4.1,6,14427.7,0,NA,NA,5,9,2,5,1,4980.8,78,25.4,10177.1,7936.5,5042.9,2240.6,881.8,448.1,11,30,11,70,7441.3,18622.9,1855,285.4,26945,168.6,248,19978.4,452.6,1458.7,27.6,29.5,8.3,34.6,0,20
8pm_9-22-21-ch7,zt12,457.6,1,0,NA,NA,4.1,10,1070.6,0,NA,NA,0,3,0,2,1,283.9,10.7,88.3,27344.7,2932.5,NA,24412.2,977.5,12206.1,1,2,1,10,997.7,1455.2,457.6,41.3,28342.3,457.6,498.8,1140.9,20.7,24198.6,3.5,10.3,86.1,0,0,50
8pm-9-23-2021-ch4,zt12,537.3,7,2,3732.3,1866.1,4.2,6,16461.9,2,8276.6,4138.3,1,5,0,5,2,91.4,36.2,59.7,11515.7,4171.1,NA,7344.6,834.2,1468.9,8,14,8,49,4034.1,17284.3,1241.4,203.6,27558.6,155.2,288.2,16495.8,55.6,4458.1,14.6,15.1,26.7,13.5,30,40
8pm-9-23-2021-ch5,zt12,351.3,1,1,4113,4113,4.8,28,6922.1,3,20882.2,6960.7,0,1,1,0,0,1394,100,NA,1394,1394,1394,NA,1394,NA,1,5,1,28,2059.5,27406,351.3,134,28448.7,351.3,411.9,28800,94,NA,7.2,4.9,0,14.5,73.4,NA
8pm-9-23-2021-ch6,zt12,505.7,3,5,4188.3,837.7,3.9,11,5678.8,0,NA,NA,7,8,2,6,3,1942.8,5.8,60.3,14577.7,851.3,161.9,13726.4,106.4,2287.7,10,23,10,114,8741.6,14222.2,1292.3,445.2,27507.6,129.2,380.1,6034.7,69.1,10962.6,31.8,3.1,49.9,15.2,0,50
8pm_9-25-2021-ch1,zt12,572.1,2,0,NA,NA,4.8,11,1522.2,1,303,303,12,23,14,8,2,3296.5,8.5,59.1,17611.7,1504.2,904.5,16107.5,65.4,2013.4,14,36,14,160,10074.8,11188.2,810.4,765.6,27989.6,57.9,279.9,1563.8,234.6,12149.5,36,5.4,57.5,0,1.1,25
8pm_9-25-2021-ch3,zt12,401.9,8,0,NA,NA,5,8,3704.2,1,2718,2718,2,10,5,4,3,34.2,3.6,79.2,20188.1,727.2,380.6,19460.9,72.7,4865.2,10,19,10,77,4593.8,8611.9,1300.1,382.4,27499.9,130,241.8,4227.2,105.3,14801.6,16.7,2.6,70.8,0,9.9,75
8pm_9-25-2021-ch7,zt12,347.2,2,1,6762.6,6762.6,4.3,20,9719.2,1,507,507,1,5,4,1,1,184.2,20.1,100,16205.7,3256.5,1843.3,12949.1,651.3,12949.1,3,9,3,59,4825.4,12594.3,499.4,252.3,28300.6,166.5,536.2,15850.9,18.7,12949.1,17.1,11.5,45.8,23.9,1.8,100
